Nom,Autres Noms,Longitude,Latitude,Empire,start_year,end_year
Aden,,12.77944,45.03667,Netherlands,1614,1620
Al Mukha,"Makha, Mocha, Mokka",13.319555,43.243425,Netherlands,1620,1757
Al Qatif,"El Katif, Qatif",26.56542,50.0089,Portugal,1524,1549
Ambon,"Amboina, Amboino",-3.69583,128.18333,Portugal,1526,1605
Ambon,"Amboina, Amboino",-3.69583,128.18333,Netherlands,1606,1942
Anchuthengu,"Angengo, Anjenga, Anjengo, Ansinga, Antsjenge",8.662778,76.764444,Great-Britain,1694,1813
Ayutthaya,"Ayudhia, Ayuthia, Bandel de Sião, Odiá, Siam",14.35167,100.57739,Netherlands,1613,1767
Badiyah,Al Badiyah,25.43227,56.34574,Portugal,1507,1650
Bahrain,,26.233611,50.520556,Portugal,1521,1602
Balasore,Baleshwar,21.49266,86.93348,Great-Britain,1633,1762
Balasore,Baleshwar,21.49266,86.93348,Denmark,1763,1845
Banda Aceh,"Aceh, Achin, Atjeh",5.54167,95.33333,Netherlands,1511,1700
Banda Neira,"Banda, Banda-Neira, Bandanaira, Neijra, Nera, Neyra",-4.52822,129.897786,Netherlands,1621,1799
Bandar Abbas,"Bandar-e Abbas, Comorão, Gamron, Gamroon, Gamrun, Gombroon, Gombrou",27.1865,56.2808,Portugal,1514,1622
Bandar Abbas,"Bandar-e Abbas, Comorão, Gamron, Gamroon, Gamrun, Gombroon, Gombrou",27.1865,56.2808,Great-Britain,1625,1653
Bandar Abbas,"Bandar-e Abbas, Comorão, Gamron, Gamroon, Gamrun, Gombroon, Gombrou",27.1865,56.2808,Netherlands,1654,1765
Bandra,,19.04177,72.81858,Portugal,1534,1661
Banjarmasin,"Banjarmassin, Manjarmacem",-3.31987,114.59075,Denmark,1621,1636
Banjarmasin,"Banjarmassin, Manjarmacem",-3.31987,114.59075,Netherlands,1787,1949
Banten,"Bantam, Bantham, Soeroesowan, Sourousouangh",-6.027384,106.194162,Great-Britain,1603,1682
Banten,"Bantam, Bantham, Soeroesowan, Sourousouangh",-6.027384,106.194162,Netherlands,1683,1941
Bardhaman,"Barddhaman, Burdwan",23.25572,87.85691,Moghol,1657,1796
Basra,"Al Basrah, Basrah, Bassora, Bassoura, Bassura, Baçora",30.50852,47.7804,Portugal,1523,1624
Basrur,Barcelor,13.6308,74.73769,Portugal,1590,1665
